Date,commodity,price_brl,unit
2026-03-31,Soybean (CEPEA),2046.83,BRL/MT
2026-03-31,Soybean (ESALQ/B3 Paranaguá),2154.0,BRL/MT
2026-04-01,Soybean (CEPEA),2041.5,BRL/MT
2026-04-01,Soybean (ESALQ/B3 Paranaguá),2131.83,BRL/MT
2026-04-03,Soybean (CONAB PR farmgate),1920.0,BRL/MT
2026-04-06,Soybean (CEPEA),2050.83,BRL/MT
2026-04-06,Soybean (ESALQ/B3 Paranaguá),2146.83,BRL/MT
2026-04-07,Soybean (CEPEA),2040.33,BRL/MT
2026-04-07,Soybean (ESALQ/B3 Paranaguá),2138.5,BRL/MT
2026-04-08,Soybean (CEPEA),2024.5,BRL/MT
2026-04-08,Soybean (ESALQ/B3 Paranaguá),2135.33,BRL/MT
2026-04-09,Soybean (CEPEA),2030.17,BRL/MT
2026-04-09,Soybean (ESALQ/B3 Paranaguá),2130.67,BRL/MT
2026-04-10,Soybean (CEPEA),2015.67,BRL/MT
2026-04-10,Soybean (CONAB PR farmgate),1890.0,BRL/MT
2026-04-10,Soybean (ESALQ/B3 Paranaguá),2109.67,BRL/MT
2026-04-13,Soybean (CEPEA),2009.5,BRL/MT
2026-04-13,Soybean (ESALQ/B3 Paranaguá),2111.67,BRL/MT
2026-04-14,Soybean (CEPEA),2004.83,BRL/MT
2026-04-14,Soybean (ESALQ/B3 Paranaguá),2103.5,BRL/MT
2026-04-15,Soybean (CEPEA),2012.83,BRL/MT
2026-04-15,Soybean (ESALQ/B3 Paranaguá),2114.17,BRL/MT
2026-04-16,Soybean (CEPEA),2005.17,BRL/MT
2026-04-16,Soybean (ESALQ/B3 Paranaguá),2111.17,BRL/MT
2026-04-17,Soybean (CEPEA),2006.83,BRL/MT
2026-04-17,Soybean (CONAB PR farmgate),1860.0,BRL/MT
2026-04-17,Soybean (ESALQ/B3 Paranaguá),2107.5,BRL/MT
2026-04-20,Soybean (CEPEA),2002.83,BRL/MT
2026-04-20,Soybean (ESALQ/B3 Paranaguá),2098.83,BRL/MT
2026-04-22,Soybean (CEPEA),2010.33,BRL/MT
2026-04-22,Soybean (ESALQ/B3 Paranaguá),2123.83,BRL/MT
2026-04-23,Soybean (CEPEA),2008.17,BRL/MT
2026-04-23,Soybean (ESALQ/B3 Paranaguá),2115.0,BRL/MT
2026-04-24,Soybean (CEPEA),2015.17,BRL/MT
2026-04-24,Soybean (CONAB PR farmgate),1850.0,BRL/MT
2026-04-24,Soybean (ESALQ/B3 Paranaguá),2129.0,BRL/MT
2026-04-27,Soybean (CEPEA),2018.67,BRL/MT
2026-04-27,Soybean (ESALQ/B3 Paranaguá),2127.67,BRL/MT
2026-04-28,Soybean (CEPEA),2030.5,BRL/MT
2026-04-28,Soybean (ESALQ/B3 Paranaguá),2141.17,BRL/MT
2026-04-29,Soybean (CEPEA),2043.0,BRL/MT
2026-04-29,Soybean (ESALQ/B3 Paranaguá),2151.67,BRL/MT
2026-04-30,Soybean (CEPEA),2041.33,BRL/MT
2026-04-30,Soybean (ESALQ/B3 Paranaguá),2148.0,BRL/MT
2026-05-01,Soybean (CONAB PR farmgate),1860.0,BRL/MT
2026-05-04,Soybean (CEPEA),2048.67,BRL/MT
2026-05-04,Soybean (ESALQ/B3 Paranaguá),2152.33,BRL/MT
2026-05-05,Soybean (ESALQ/B3 Paranaguá),2148.5,BRL/MT
2026-05-06,Soybean (CEPEA),2027.33,BRL/MT
2026-05-06,Soybean (ESALQ/B3 Paranaguá),2143.67,BRL/MT
2026-05-07,Soybean (CEPEA),2015.67,BRL/MT
2026-05-07,Soybean (ESALQ/B3 Paranaguá),2123.0,BRL/MT
2026-05-08,Soybean (CEPEA),2024.83,BRL/MT
2026-05-08,Soybean (CONAB PR farmgate),1850.0,BRL/MT
2026-05-08,Soybean (ESALQ/B3 Paranaguá),2128.33,BRL/MT
2026-05-11,Soybean (CEPEA),2038.5,BRL/MT
2026-05-11,Soybean (ESALQ/B3 Paranaguá),2147.5,BRL/MT
2026-05-12,Soybean (CEPEA),2046.83,BRL/MT
2026-05-12,Soybean (ESALQ/B3 Paranaguá),2158.83,BRL/MT
2026-05-13,Soybean (CEPEA),2059.0,BRL/MT
2026-05-13,Soybean (ESALQ/B3 Paranaguá),2175.83,BRL/MT
2026-05-14,Soybean (CEPEA),2038.67,BRL/MT
2026-05-14,Soybean (ESALQ/B3 Paranaguá),2138.83,BRL/MT
2026-05-15,Soybean (CEPEA),2048.0,BRL/MT
2026-05-15,Soybean (CONAB PR farmgate),1860.0,BRL/MT
