week_ending,region,port_area,commodity,inspections_mt
2026-08-06,ATLANTIC,S. ATLANTIC,Corn White,0.0
2026-08-06,ATLANTIC,S. ATLANTIC,Corn Yellow,71283.0
2026-08-06,ATLANTIC,S. ATLANTIC,Sorghum,0.0
2026-08-06,ATLANTIC,S. ATLANTIC,Soybeans,0.0
2026-08-06,ATLANTIC,S. ATLANTIC,Wheat,1053.0
2026-08-06,ATLANTIC,SUBTOTAL,Canola,0.0
2026-08-06,ATLANTIC,SUBTOTAL,Corn White,0.0
2026-08-06,ATLANTIC,SUBTOTAL,Corn Yellow,71283.0
2026-08-06,ATLANTIC,SUBTOTAL,Sorghum,0.0
2026-08-06,ATLANTIC,SUBTOTAL,Soybeans,0.0
2026-08-06,ATLANTIC,SUBTOTAL,Wheat,1053.0
2026-08-06,GULF,MISSISSIPPI R.,Canola,30128.0
2026-08-06,GULF,MISSISSIPPI R.,Corn White,26977.0
2026-08-06,GULF,MISSISSIPPI R.,Corn Yellow,898371.0
2026-08-06,GULF,MISSISSIPPI R.,Sorghum,0.0
2026-08-06,GULF,MISSISSIPPI R.,Soybeans,260822.0
2026-08-06,GULF,MISSISSIPPI R.,Wheat,37640.0
2026-08-06,GULF,N. TEXAS,Canola,0.0
2026-08-06,GULF,N. TEXAS,Corn White,0.0
2026-08-06,GULF,N. TEXAS,Corn Yellow,36543.0
2026-08-06,GULF,N. TEXAS,Sorghum,0.0
2026-08-06,GULF,N. TEXAS,Soybeans,0.0
2026-08-06,GULF,N. TEXAS,Wheat,36000.0
2026-08-06,GULF,S. TEXAS,Canola,0.0
2026-08-06,GULF,S. TEXAS,Corn White,0.0
2026-08-06,GULF,S. TEXAS,Corn Yellow,0.0
2026-08-06,GULF,S. TEXAS,Sorghum,55593.0
2026-08-06,GULF,S. TEXAS,Soybeans,0.0
2026-08-06,GULF,S. TEXAS,Wheat,0.0
2026-08-06,GULF,SUBTOTAL,Canola,30128.0
2026-08-06,GULF,SUBTOTAL,Corn White,26977.0
2026-08-06,GULF,SUBTOTAL,Corn Yellow,934914.0
2026-08-06,GULF,SUBTOTAL,Sorghum,55593.0
2026-08-06,GULF,SUBTOTAL,Soybeans,260822.0
2026-08-06,GULF,SUBTOTAL,Wheat,73640.0
2026-08-06,INTERIOR,INTERIOR,Canola,11476.0
2026-08-06,INTERIOR,INTERIOR,Corn White,12112.0
2026-08-06,INTERIOR,INTERIOR,Corn Yellow,305250.0
2026-08-06,INTERIOR,INTERIOR,Sorghum,612.0
2026-08-06,INTERIOR,INTERIOR,Soybeans,138379.0
2026-08-06,INTERIOR,INTERIOR,Wheat,79650.0
2026-08-06,INTERIOR,SUBTOTAL,Canola,11476.0
2026-08-06,INTERIOR,SUBTOTAL,Corn White,12112.0
2026-08-06,INTERIOR,SUBTOTAL,Corn Yellow,305250.0
2026-08-06,INTERIOR,SUBTOTAL,Sorghum,612.0
2026-08-06,INTERIOR,SUBTOTAL,Soybeans,138379.0
2026-08-06,INTERIOR,SUBTOTAL,Wheat,79650.0
2026-08-06,PACIFIC,COLUMBIA R.,Canola,0.0
2026-08-06,PACIFIC,COLUMBIA R.,Corn White,0.0
2026-08-06,PACIFIC,COLUMBIA R.,Corn Yellow,320414.0
