week_ending,region,country,commodity,inspections_mt
2026-07-30,GULF,SPAIN,Corn White,0.0
2026-07-30,GULF,SPAIN,Corn Yellow,61428.0
2026-07-30,GULF,SPAIN,Sorghum,0.0
2026-07-30,GULF,SPAIN,Soybeans,0.0
2026-07-30,GULF,SPAIN,Wheat,0.0
2026-07-30,GULF,SUBTOTAL,Corn White,0.0
2026-07-30,GULF,SUBTOTAL,Corn Yellow,885497.0
2026-07-30,GULF,SUBTOTAL,Sorghum,93793.0
2026-07-30,GULF,SUBTOTAL,Soybeans,195618.0
2026-07-30,GULF,SUBTOTAL,Wheat,28521.0
2026-07-30,GULF,SURINAME,Corn White,0.0
2026-07-30,GULF,SURINAME,Corn Yellow,0.0
2026-07-30,GULF,SURINAME,Sorghum,0.0
2026-07-30,GULF,SURINAME,Soybeans,0.0
2026-07-30,GULF,SURINAME,Wheat,4500.0
2026-07-30,GULF,UN KINGDOM,Corn White,0.0
2026-07-30,GULF,UN KINGDOM,Corn Yellow,20471.0
2026-07-30,GULF,UN KINGDOM,Sorghum,0.0
2026-07-30,GULF,UN KINGDOM,Soybeans,0.0
2026-07-30,GULF,UN KINGDOM,Wheat,0.0
2026-07-30,GULF,VENEZUELA,Corn White,0.0
2026-07-30,GULF,VENEZUELA,Corn Yellow,52200.0
2026-07-30,GULF,VENEZUELA,Sorghum,0.0
2026-07-30,GULF,VENEZUELA,Soybeans,0.0
2026-07-30,GULF,VENEZUELA,Wheat,0.0
2026-07-30,INTERIOR,CHINA,Corn White,0.0
2026-07-30,INTERIOR,CHINA,Corn Yellow,0.0
2026-07-30,INTERIOR,CHINA,Sorghum,98.0
2026-07-30,INTERIOR,CHINA,Soybeans,0.0
2026-07-30,INTERIOR,CHINA,Wheat,0.0
2026-07-30,INTERIOR,HONG KONG,Corn White,0.0
2026-07-30,INTERIOR,HONG KONG,Corn Yellow,220.0
2026-07-30,INTERIOR,HONG KONG,Sorghum,0.0
2026-07-30,INTERIOR,HONG KONG,Soybeans,0.0
2026-07-30,INTERIOR,HONG KONG,Wheat,0.0
2026-07-30,INTERIOR,INDONESIA,Corn White,0.0
2026-07-30,INTERIOR,INDONESIA,Corn Yellow,0.0
2026-07-30,INTERIOR,INDONESIA,Sorghum,0.0
2026-07-30,INTERIOR,INDONESIA,Soybeans,21009.0
2026-07-30,INTERIOR,INDONESIA,Wheat,0.0
2026-07-30,INTERIOR,JAPAN,Corn White,0.0
2026-07-30,INTERIOR,JAPAN,Corn Yellow,490.0
2026-07-30,INTERIOR,JAPAN,Sorghum,636.0
2026-07-30,INTERIOR,JAPAN,Soybeans,342.0
2026-07-30,INTERIOR,JAPAN,Wheat,0.0
2026-07-30,INTERIOR,JORDAN,Corn White,24.0
2026-07-30,INTERIOR,JORDAN,Corn Yellow,24.0
2026-07-30,INTERIOR,JORDAN,Sorghum,0.0
2026-07-30,INTERIOR,JORDAN,Soybeans,0.0
2026-07-30,INTERIOR,JORDAN,Wheat,0.0
2026-07-30,INTERIOR,KOREA REP,Corn White,98.0
2026-07-30,INTERIOR,KOREA REP,Corn Yellow,5607.0
2026-07-30,INTERIOR,KOREA REP,Sorghum,0.0
2026-07-30,INTERIOR,KOREA REP,Soybeans,441.0
2026-07-30,INTERIOR,KOREA REP,Wheat,0.0
2026-07-30,INTERIOR,MALAYSIA,Corn White,0.0
2026-07-30,INTERIOR,MALAYSIA,Corn Yellow,3182.0
2026-07-30,INTERIOR,MALAYSIA,Sorghum,0.0
