date,product,position,ship_from,ship_to,price_usd_mt
2024-11-01,Soybeans,12019000190C,2024-11,2025-02,413.0
2024-11-01,Soybeans,12019000190C,2025-03,2025-10,389.0
2024-11-01,Soybean Oil,15071000100Q,2024-11,2024-11,1120.0
2024-11-01,Soybean Oil,15071000100Q,2024-12,2025-02,1109.0
2024-11-01,Soybean Oil,15071000100Q,2025-03,2025-03,1031.0
2024-11-01,Soybean Oil,15071000100Q,2025-04,2025-10,997.0
2024-11-01,Sunflower Oil,15121110310E,2024-11,2024-12,1130.0
2024-11-01,Sunflower Oil,15121110310E,2025-01,2025-10,1110.0
2024-11-01,Soybean Meal,23040010100B,2024-11,2024-12,337.0
2024-11-01,Soybean Meal,23040010100B,2025-01,2025-03,342.0
2024-11-01,Soybean Meal,23040010100B,2025-04,2025-10,334.0
2024-11-04,Soybeans,12019000190C,2024-11,2025-02,416.0
2024-11-04,Soybeans,12019000190C,2025-03,2025-10,390.0
2024-11-04,Soybean Oil,15071000100Q,2024-11,2024-11,1131.0
2024-11-04,Soybean Oil,15071000100Q,2024-12,2025-02,1113.0
2024-11-04,Soybean Oil,15071000100Q,2025-03,2025-03,1021.0
2024-11-04,Soybean Oil,15071000100Q,2025-04,2025-10,991.0
2024-11-04,Sunflower Oil,15121110310E,2024-11,2025-01,1130.0
2024-11-04,Sunflower Oil,15121110310E,2025-02,2025-10,1115.0
2024-11-04,Soybean Meal,23040010100B,2024-11,2024-12,342.0
2024-11-04,Soybean Meal,23040010100B,2025-01,2025-03,345.0
2024-11-04,Soybean Meal,23040010100B,2025-04,2025-10,335.0
2024-11-05,Soybeans,12019000190C,2024-11,2025-02,419.0
2024-11-05,Soybeans,12019000190C,2025-03,2025-10,391.0
2024-11-05,Soybean Oil,15071000100Q,2024-11,2024-11,1119.0
2024-11-05,Soybean Oil,15071000100Q,2024-12,2025-02,1104.0
2024-11-05,Soybean Oil,15071000100Q,2025-03,2025-03,1013.0
2024-11-05,Soybean Oil,15071000100Q,2025-04,2025-10,980.0
2024-11-05,Sunflower Oil,15121110310E,2024-11,2025-01,1130.0
2024-11-05,Sunflower Oil,15121110310E,2025-02,2025-10,1115.0
2024-11-05,Soybean Meal,23040010100B,2024-11,2024-12,340.0
2024-11-05,Soybean Meal,23040010100B,2025-01,2025-03,344.0
2024-11-05,Soybean Meal,23040010100B,2025-04,2025-10,336.0
2024-11-06,Soybeans,12019000190C,2024-11,2025-02,421.0
2024-11-06,Soybeans,12019000190C,2025-03,2025-10,391.0
2024-11-06,Soybean Oil,15071000100Q,2024-11,2024-11,1146.0
2024-11-06,Soybean Oil,15071000100Q,2024-12,2025-02,1137.0
2024-11-06,Soybean Oil,15071000100Q,2025-03,2025-03,1041.0
2024-11-06,Soybean Oil,15071000100Q,2025-04,2025-10,1006.0
2024-11-06,Sunflower Oil,15121110310E,2024-11,2025-01,1140.0
2024-11-06,Sunflower Oil,15121110310E,2025-02,2025-10,1125.0
2024-11-06,Soybean Meal,23040010100B,2024-11,2024-12,339.0
2024-11-06,Soybean Meal,23040010100B,2025-01,2025-03,342.0
2024-11-06,Soybean Meal,23040010100B,2025-04,2025-10,336.0
2024-11-07,Soybeans,12019000190C,2024-11,2025-02,428.0
2024-11-07,Soybeans,12019000190C,2025-03,2025-10,396.0
2024-11-07,Soybean Oil,15071000100Q,2024-11,2024-11,1181.0
2024-11-07,Soybean Oil,15071000100Q,2024-12,2025-02,1164.0
2024-11-07,Soybean Oil,15071000100Q,2025-03,2025-03,1079.0
2024-11-07,Soybean Oil,15071000100Q,2025-04,2025-10,1048.0
2024-11-07,Sunflower Oil,15121110310E,2024-11,2025-01,1150.0
2024-11-07,Sunflower Oil,15121110310E,2025-02,2025-10,1135.0
2024-11-07,Soybean Meal,23040010100B,2024-11,2024-12,338.0
2024-11-07,Soybean Meal,23040010100B,2025-01,2025-03,342.0
2024-11-07,Soybean Meal,23040010100B,2025-04,2025-10,339.0
2024-11-08,Soybeans,12019000190C,2024-11,2025-02,428.0
2024-11-08,Soybeans,12019000190C,2025-03,2025-10,397.0
2024-11-08,Soybean Oil,15071000100Q,2024-11,2024-11,1191.0
2024-11-08,Soybean Oil,15071000100Q,2024-12,2025-02,1176.0
2024-11-08,Soybean Oil,15071000100Q,2025-03,2025-03,1093.0
2024-11-08,Soybean Oil,15071000100Q,2025-04,2025-10,1062.0
2024-11-08,Sunflower Oil,15121110310E,2024-11,2025-01,1150.0
2024-11-08,Sunflower Oil,15121110310E,2025-02,2025-10,1135.0
2024-11-08,Soybean Meal,23040010100B,2024-11,2024-12,336.0
2024-11-08,Soybean Meal,23040010100B,2025-01,2025-03,340.0
2024-11-08,Soybean Meal,23040010100B,2025-04,2025-10,337.0
2024-11-11,Soybeans,12019000190C,2024-11,2025-02,425.0
2024-11-11,Soybeans,12019000190C,2025-03,2025-10,394.0
2024-11-11,Soybean Oil,15071000100Q,2024-11,2025-02,1177.0
2024-11-11,Soybean Oil,15071000100Q,2025-03,2025-03,1080.0
2024-11-11,Soybean Oil,15071000100Q,2025-04,2025-10,1051.0
2024-11-11,Sunflower Oil,15121110310E,2024-11,2025-01,1170.0
2024-11-11,Sunflower Oil,15121110310E,2025-02,2025-10,1155.0
2024-11-11,Soybean Meal,23040010100B,2024-11,2024-12,333.0
2024-11-11,Soybean Meal,23040010100B,2025-01,2025-03,337.0
2024-11-11,Soybean Meal,23040010100B,2025-04,2025-10,334.0
2024-11-12,Soybeans,12019000190C,2024-11,2025-02,424.0
2024-11-12,Soybeans,12019000190C,2025-03,2025-10,388.0
2024-11-12,Soybean Oil,15071000100Q,2024-11,2025-02,1155.0
2024-11-12,Soybean Oil,15071000100Q,2025-03,2025-03,1045.0
2024-11-12,Soybean Oil,15071000100Q,2025-04,2025-10,1011.0
2024-11-12,Sunflower Oil,15121110310E,2024-11,2025-01,1160.0
2024-11-12,Sunflower Oil,15121110310E,2025-02,2025-10,1155.0
2024-11-12,Soybean Meal,23040010100B,2024-11,2024-12,332.0
2024-11-12,Soybean Meal,23040010100B,2025-01,2025-03,336.0
2024-11-12,Soybean Meal,23040010100B,2025-04,2025-10,333.0
2024-11-13,Soybeans,12019000190C,2024-11,2025-02,423.0
2024-11-13,Soybeans,12019000190C,2025-03,2025-10,388.0
2024-11-13,Soybean Oil,15071000100Q,2024-11,2024-12,1136.0
2024-11-13,Soybean Oil,15071000100Q,2025-01,2025-02,1111.0
2024-11-13,Soybean Oil,15071000100Q,2025-03,2025-03,1023.0
2024-11-13,Soybean Oil,15071000100Q,2025-04,2025-10,988.0
2024-11-13,Sunflower Oil,15121110310E,2024-11,2025-10,1175.0
2024-11-13,Soybean Meal,23040010100B,2024-11,2024-12,326.0
2024-11-13,Soybean Meal,23040010100B,2025-01,2025-03,334.0
2024-11-13,Soybean Meal,23040010100B,2025-04,2025-10,331.0
2024-11-14,Soybeans,12019000190C,2024-11,2025-02,417.0
2024-11-14,Soybeans,12019000190C,2025-03,2025-10,383.0
2024-11-14,Soybean Oil,15071000100Q,2024-11,2024-12,1120.0
2024-11-14,Soybean Oil,15071000100Q,2025-01,2025-02,1098.0
2024-11-14,Soybean Oil,15071000100Q,2025-03,2025-03,1007.0
2024-11-14,Soybean Oil,15071000100Q,2025-04,2025-10,975.0
2024-11-14,Sunflower Oil,15121110310E,2024-11,2025-10,1170.0
2024-11-14,Soybean Meal,23040010100B,2024-11,2024-12,322.0
2024-11-14,Soybean Meal,23040010100B,2025-01,2025-03,331.0
2024-11-14,Soybean Meal,23040010100B,2025-04,2025-10,327.0
2024-11-15,Soybeans,12019000190C,2024-11,2025-02,420.0
2024-11-15,Soybeans,12019000190C,2025-03,2025-10,386.0
2024-11-15,Soybean Oil,15071000100Q,2024-11,2024-12,1132.0
2024-11-15,Soybean Oil,15071000100Q,2025-01,2025-02,1115.0
2024-11-15,Soybean Oil,15071000100Q,2025-03,2025-03,1024.0
2024-11-15,Soybean Oil,15071000100Q,2025-04,2025-10,997.0
2024-11-15,Sunflower Oil,15121110310E,2024-11,2025-10,1180.0
2024-11-15,Soybean Meal,23040010100B,2024-11,2024-12,325.0
2024-11-15,Soybean Meal,23040010100B,2025-01,2025-03,332.0
2024-11-15,Soybean Meal,23040010100B,2025-04,2025-10,328.0
2024-11-19,Soybeans,12019000190C,2024-11,2025-02,418.0
2024-11-19,Soybeans,12019000190C,2025-03,2025-10,389.0
2024-11-19,Soybean Oil,15071000100Q,2024-11,2024-12,1116.0
2024-11-19,Soybean Oil,15071000100Q,2025-01,2025-02,1095.0
2024-11-19,Soybean Oil,15071000100Q,2025-03,2025-03,1021.0
2024-11-19,Soybean Oil,15071000100Q,2025-04,2025-10,986.0
2024-11-19,Sunflower Oil,15121110310E,2024-11,2025-10,1175.0
2024-11-19,Soybean Meal,23040010100B,2024-11,2024-12,324.0
2024-11-19,Soybean Meal,23040010100B,2025-01,2025-10,327.0
2024-11-20,Soybeans,12019000190C,2024-11,2025-02,418.0
2024-11-20,Soybeans,12019000190C,2025-03,2025-10,385.0
2024-11-20,Soybean Oil,15071000100Q,2024-11,2024-12,1088.0
2024-11-20,Soybean Oil,15071000100Q,2025-01,2025-02,1069.0
2024-11-20,Soybean Oil,15071000100Q,2025-03,2025-03,996.0
2024-11-20,Soybean Oil,15071000100Q,2025-04,2025-10,959.0
2024-11-20,Sunflower Oil,15121110310E,2024-11,2025-10,1170.0
2024-11-20,Soybean Meal,23040010100B,2024-11,2024-12,326.0
2024-11-20,Soybean Meal,23040010100B,2025-01,2025-10,330.0
2024-11-21,Soybeans,12019000190C,2024-11,2025-02,414.0
2024-11-21,Soybeans,12019000190C,2025-03,2025-10,380.0
2024-11-21,Soybean Oil,15071000100Q,2024-11,2024-12,1068.0
2024-11-21,Soybean Oil,15071000100Q,2025-01,2025-02,1053.0
2024-11-21,Soybean Oil,15071000100Q,2025-03,2025-03,981.0
2024-11-21,Soybean Oil,15071000100Q,2025-04,2025-10,947.0
2024-11-21,Sunflower Oil,15121110310E,2024-11,2025-10,1165.0
2024-11-21,Soybean Meal,23040010100B,2024-11,2024-12,325.0
2024-11-21,Soybean Meal,23040010100B,2025-01,2025-10,330.0
2024-11-22,Soybeans,12019000190C,2024-11,2025-02,414.0
2024-11-22,Soybeans,12019000190C,2025-03,2025-10,382.0
2024-11-22,Soybean Oil,15071000100Q,2024-11,2024-12,1059.0
2024-11-22,Soybean Oil,15071000100Q,2025-01,2025-02,1048.0
2024-11-22,Soybean Oil,15071000100Q,2025-03,2025-03,975.0
2024-11-22,Soybean Oil,15071000100Q,2025-04,2025-10,937.0
2024-11-22,Sunflower Oil,15121110310E,2024-11,2025-10,1165.0
2024-11-22,Soybean Meal,23040010100B,2024-11,2024-12,327.0
2024-11-22,Soybean Meal,23040010100B,2025-01,2025-10,332.0
2024-11-25,Soybeans,12019000190C,2024-11,2025-02,414.0
2024-11-25,Soybeans,12019000190C,2025-03,2025-10,384.0
2024-11-25,Soybean Oil,15071000100Q,2024-11,2024-12,1046.0
2024-11-25,Soybean Oil,15071000100Q,2025-01,2025-02,1030.0
2024-11-25,Soybean Oil,15071000100Q,2025-03,2025-03,964.0
2024-11-25,Soybean Oil,15071000100Q,2025-04,2025-10,920.0
2024-11-25,Sunflower Oil,15121110310E,2024-11,2025-10,1165.0
2024-11-25,Soybean Meal,23040010100B,2024-11,2024-12,335.0
2024-11-25,Soybean Meal,23040010100B,2025-01,2025-10,333.0
2024-11-26,Soybeans,12019000190C,2024-11,2025-02,413.0
2024-11-26,Soybeans,12019000190C,2025-03,2025-10,383.0
2024-11-26,Soybean Oil,15071000100Q,2024-11,2024-12,1054.0
2024-11-26,Soybean Oil,15071000100Q,2025-01,2025-02,1039.0
2024-11-26,Soybean Oil,15071000100Q,2025-03,2025-03,990.0
2024-11-26,Soybean Oil,15071000100Q,2025-04,2025-10,936.0
2024-11-26,Sunflower Oil,15121110310E,2024-11,2025-10,1160.0
2024-11-26,Soybean Meal,23040010100B,2024-11,2024-12,332.0
2024-11-26,Soybean Meal,23040010100B,2025-01,2025-10,330.0
2024-11-27,Soybeans,12019000190C,2024-11,2025-02,413.0
2024-11-27,Soybeans,12019000190C,2025-03,2025-10,384.0
2024-11-27,Soybean Oil,15071000100Q,2024-11,2024-12,1027.0
2024-11-27,Soybean Oil,15071000100Q,2025-01,2025-02,1013.0
2024-11-27,Soybean Oil,15071000100Q,2025-03,2025-03,965.0
2024-11-27,Soybean Oil,15071000100Q,2025-04,2025-10,911.0
2024-11-27,Sunflower Oil,15121110310E,2024-11,2025-10,1150.0
2024-11-27,Soybean Meal,23040010100B,2024-11,2024-12,334.0
2024-11-27,Soybean Meal,23040010100B,2025-01,2025-03,338.0
2024-11-27,Soybean Meal,23040010100B,2025-04,2025-10,335.0
2024-11-28,Soybeans,12019000190C,2024-11,2025-02,413.0
2024-11-28,Soybeans,12019000190C,2025-03,2025-10,384.0
2024-11-28,Soybean Oil,15071000100Q,2024-11,2024-12,1027.0
2024-11-28,Soybean Oil,15071000100Q,2025-01,2025-02,1013.0
2024-11-28,Soybean Oil,15071000100Q,2025-03,2025-03,965.0
2024-11-28,Soybean Oil,15071000100Q,2025-04,2025-10,911.0
2024-11-28,Sunflower Oil,15121110310E,2024-11,2025-10,1150.0
2024-11-28,Soybean Meal,23040010100B,2024-11,2024-12,334.0
2024-11-28,Soybean Meal,23040010100B,2025-01,2025-03,338.0
2024-11-28,Soybean Meal,23040010100B,2025-04,2025-10,335.0
2024-11-29,Soybeans,12019000190C,2024-12,2025-02,413.0
2024-11-29,Soybeans,12019000190C,2025-03,2025-11,383.0
2024-11-29,Soybean Oil,15071000100Q,2024-12,2024-12,1047.0
2024-11-29,Soybean Oil,15071000100Q,2025-01,2025-02,1030.0
2024-11-29,Soybean Oil,15071000100Q,2025-03,2025-03,988.0
2024-11-29,Soybean Oil,15071000100Q,2025-04,2025-11,933.0
2024-11-29,Sunflower Oil,15121110310E,2024-11,2025-10,1165.0
2024-11-29,Soybean Meal,23040010100B,2024-12,2025-01,331.0
2024-11-29,Soybean Meal,23040010100B,2025-02,2025-03,335.0
2024-11-29,Soybean Meal,23040010100B,2025-04,2025-11,333.0
2024-12-02,Soybeans,12019000190C,2024-12,2025-02,412.0
2024-12-02,Soybeans,12019000190C,2025-03,2025-11,382.0
2024-12-02,Soybean Oil,15071000100Q,2024-12,2024-12,1043.0
2024-12-02,Soybean Oil,15071000100Q,2025-01,2025-02,1034.0
2024-12-02,Soybean Oil,15071000100Q,2025-03,2025-03,991.0
2024-12-02,Soybean Oil,15071000100Q,2025-04,2025-11,932.0
2024-12-02,Sunflower Oil,15121110310E,2024-12,2025-11,1160.0
2024-12-02,Soybean Meal,23040010100B,2024-12,2025-01,328.0
2024-12-02,Soybean Meal,23040010100B,2025-02,2025-03,330.0
2024-12-02,Soybean Meal,23040010100B,2025-04,2025-11,333.0
2024-12-03,Soybeans,12019000190C,2024-12,2025-02,414.0
2024-12-03,Soybeans,12019000190C,2025-03,2025-11,382.0
2024-12-03,Soybean Oil,15071000100Q,2024-12,2025-01,1056.0
2024-12-03,Soybean Oil,15071000100Q,2025-02,2025-02,1022.0
2024-12-03,Soybean Oil,15071000100Q,2025-03,2025-03,1002.0
2024-12-03,Soybean Oil,15071000100Q,2025-04,2025-11,954.0
2024-12-03,Sunflower Oil,15121110310E,2024-12,2025-11,1160.0
2024-12-03,Soybean Meal,23040010100B,2024-12,2025-01,330.0
2024-12-03,Soybean Meal,23040010100B,2025-02,2025-03,332.0
2024-12-03,Soybean Meal,23040010100B,2025-04,2025-11,335.0
2024-12-04,Soybeans,12019000190C,2024-12,2025-02,409.0
2024-12-04,Soybeans,12019000190C,2025-03,2025-11,381.0
2024-12-04,Soybean Oil,15071000100Q,2024-12,2025-01,1050.0
2024-12-04,Soybean Oil,15071000100Q,2025-02,2025-02,1018.0
2024-12-04,Soybean Oil,15071000100Q,2025-03,2025-03,991.0
2024-12-04,Soybean Oil,15071000100Q,2025-04,2025-11,947.0
2024-12-04,Sunflower Oil,15121110310E,2024-12,2025-11,1155.0
2024-12-04,Soybean Meal,23040010100B,2024-12,2025-01,329.0
2024-12-04,Soybean Meal,23040010100B,2025-02,2025-03,332.0
2024-12-04,Soybean Meal,23040010100B,2025-04,2025-11,334.0
2024-12-05,Soybeans,12019000190C,2024-12,2025-02,415.0
2024-12-05,Soybeans,12019000190C,2025-03,2025-11,385.0
2024-12-05,Soybean Oil,15071000100Q,2024-12,2025-01,1066.0
2024-12-05,Soybean Oil,15071000100Q,2025-02,2025-02,1027.0
2024-12-05,Soybean Oil,15071000100Q,2025-03,2025-03,1010.0
2024-12-05,Soybean Oil,15071000100Q,2025-04,2025-11,961.0
2024-12-05,Sunflower Oil,15121110310E,2024-12,2025-11,1150.0
2024-12-05,Soybean Meal,23040010100B,2024-12,2025-01,330.0
2024-12-05,Soybean Meal,23040010100B,2025-02,2025-03,333.0
2024-12-05,Soybean Meal,23040010100B,2025-04,2025-11,331.0
2024-12-06,Soybeans,12019000190C,2024-12,2025-02,415.0
2024-12-06,Soybeans,12019000190C,2025-03,2025-11,383.0
2024-12-06,Soybean Oil,15071000100Q,2024-12,2025-01,1070.0
2024-12-06,Soybean Oil,15071000100Q,2025-02,2025-02,1048.0
2024-12-06,Soybean Oil,15071000100Q,2025-03,2025-03,1019.0
2024-12-06,Soybean Oil,15071000100Q,2025-04,2025-11,970.0
2024-12-06,Sunflower Oil,15121110310E,2024-12,2025-11,1150.0
2024-12-06,Soybean Meal,23040010100B,2024-12,2025-01,328.0
2024-12-06,Soybean Meal,23040010100B,2025-02,2025-03,332.0
2024-12-06,Soybean Meal,23040010100B,2025-04,2025-11,330.0
2024-12-09,Soybeans,12019000190C,2024-12,2025-02,415.0
2024-12-09,Soybeans,12019000190C,2025-03,2025-11,383.0
2024-12-09,Soybean Oil,15071000100Q,2024-12,2025-01,1067.0
2024-12-09,Soybean Oil,15071000100Q,2025-02,2025-02,1044.0
2024-12-09,Soybean Oil,15071000100Q,2025-03,2025-03,1015.0
2024-12-09,Soybean Oil,15071000100Q,2025-04,2025-11,967.0
2024-12-09,Sunflower Oil,15121110310E,2024-12,2025-11,1150.0
2024-12-09,Soybean Meal,23040010100B,2024-12,2025-01,329.0
2024-12-09,Soybean Meal,23040010100B,2025-02,2025-03,334.0
2024-12-09,Soybean Meal,23040010100B,2025-04,2025-11,330.0
2024-12-10,Soybeans,12019000190C,2024-12,2025-02,417.0
2024-12-10,Soybeans,12019000190C,2025-03,2025-11,385.0
2024-12-10,Soybean Oil,15071000100Q,2024-12,2025-01,1063.0
2024-12-10,Soybean Oil,15071000100Q,2025-02,2025-02,1035.0
2024-12-10,Soybean Oil,15071000100Q,2025-03,2025-03,1010.0
2024-12-10,Soybean Oil,15071000100Q,2025-04,2025-11,964.0
2024-12-10,Sunflower Oil,15121110310E,2024-12,2025-11,1145.0
2024-12-10,Soybean Meal,23040010100B,2024-12,2025-01,333.0
2024-12-10,Soybean Meal,23040010100B,2025-02,2025-03,337.0
2024-12-10,Soybean Meal,23040010100B,2025-04,2025-11,331.0
2024-12-11,Soybeans,12019000190C,2024-12,2025-02,416.0
2024-12-11,Soybeans,12019000190C,2025-03,2025-11,385.0
2024-12-11,Soybean Oil,15071000100Q,2024-12,2025-01,1051.0
2024-12-11,Soybean Oil,15071000100Q,2025-02,2025-02,1024.0
2024-12-11,Soybean Oil,15071000100Q,2025-03,2025-03,997.0
2024-12-11,Soybean Oil,15071000100Q,2025-04,2025-11,953.0
2024-12-11,Sunflower Oil,15121110310E,2024-12,2025-11,1140.0
2024-12-11,Soybean Meal,23040010100B,2024-12,2025-01,332.0
2024-12-11,Soybean Meal,23040010100B,2025-02,2025-03,336.0
2024-12-11,Soybean Meal,23040010100B,2025-04,2025-11,331.0
2024-12-12,Soybeans,12019000190C,2024-12,2025-02,416.0
2024-12-12,Soybeans,12019000190C,2025-03,2025-11,381.0
2024-12-12,Soybean Oil,15071000100Q,2024-12,2025-01,1054.0
2024-12-12,Soybean Oil,15071000100Q,2025-02,2025-02,1031.0
2024-12-12,Soybean Oil,15071000100Q,2025-03,2025-03,1003.0
2024-12-12,Soybean Oil,15071000100Q,2025-04,2025-11,959.0
2024-12-12,Sunflower Oil,15121110310E,2024-12,2025-11,1140.0
2024-12-12,Soybean Meal,23040010100B,2024-12,2025-01,331.0
2024-12-12,Soybean Meal,23040010100B,2025-02,2025-03,335.0
2024-12-12,Soybean Meal,23040010100B,2025-04,2025-11,330.0
2024-12-13,Soybeans,12019000190C,2024-12,2025-02,413.0
2024-12-13,Soybeans,12019000190C,2025-03,2025-11,377.0
2024-12-13,Soybean Oil,15071000100Q,2024-12,2025-01,1045.0
2024-12-13,Soybean Oil,15071000100Q,2025-02,2025-02,1025.0
2024-12-13,Soybean Oil,15071000100Q,2025-03,2025-03,1003.0
2024-12-13,Soybean Oil,15071000100Q,2025-04,2025-11,954.0
2024-12-13,Sunflower Oil,15121110310E,2024-12,2025-11,1130.0
2024-12-13,Soybean Meal,23040010100B,2024-12,2025-01,327.0
2024-12-13,Soybean Meal,23040010100B,2025-02,2025-03,330.0
2024-12-13,Soybean Meal,23040010100B,2025-04,2025-11,328.0
2024-12-16,Soybeans,12019000190C,2024-12,2025-02,410.0
2024-12-16,Soybeans,12019000190C,2025-03,2025-11,375.0
2024-12-16,Soybean Oil,15071000100Q,2024-12,2025-01,1041.0
2024-12-16,Soybean Oil,15071000100Q,2025-02,2025-02,1005.0
2024-12-16,Soybean Oil,15071000100Q,2025-03,2025-03,983.0
2024-12-16,Soybean Oil,15071000100Q,2025-04,2025-11,940.0
2024-12-16,Sunflower Oil,15121110310E,2024-12,2025-11,1125.0
2024-12-16,Soybean Meal,23040010100B,2024-12,2025-01,327.0
2024-12-16,Soybean Meal,23040010100B,2025-02,2025-03,330.0
2024-12-16,Soybean Meal,23040010100B,2025-04,2025-11,325.0
2024-12-17,Soybeans,12019000190C,2024-12,2025-02,407.0
2024-12-17,Soybeans,12019000190C,2025-03,2025-11,370.0
2024-12-17,Soybean Oil,15071000100Q,2024-12,2025-01,1022.0
2024-12-17,Soybean Oil,15071000100Q,2025-02,2025-02,980.0
2024-12-17,Soybean Oil,15071000100Q,2025-03,2025-03,958.0
2024-12-17,Soybean Oil,15071000100Q,2025-04,2025-11,909.0
2024-12-17,Sunflower Oil,15121110310E,2024-12,2025-11,1120.0
2024-12-17,Soybean Meal,23040010100B,2024-12,2025-01,327.0
2024-12-17,Soybean Meal,23040010100B,2025-02,2025-03,330.0
2024-12-17,Soybean Meal,23040010100B,2025-04,2025-11,328.0
2024-12-18,Soybeans,12019000190C,2024-12,2025-02,399.0
2024-12-18,Soybeans,12019000190C,2025-03,2025-11,361.0
2024-12-18,Soybean Oil,15071000100Q,2024-12,2025-01,984.0
2024-12-18,Soybean Oil,15071000100Q,2025-02,2025-02,957.0
2024-12-18,Soybean Oil,15071000100Q,2025-03,2025-03,927.0
2024-12-18,Soybean Oil,15071000100Q,2025-04,2025-11,882.0
2024-12-18,Sunflower Oil,15121110310E,2024-12,2025-11,1115.0
2024-12-18,Soybean Meal,23040010100B,2024-12,2025-01,314.0
2024-12-18,Soybean Meal,23040010100B,2025-02,2025-03,320.0
2024-12-18,Soybean Meal,23040010100B,2025-04,2025-11,322.0
2024-12-19,Soybeans,12019000190C,2024-12,2025-02,403.0
2024-12-19,Soybeans,12019000190C,2025-03,2025-11,364.0
2024-12-19,Soybean Oil,15071000100Q,2024-12,2025-01,992.0
2024-12-19,Soybean Oil,15071000100Q,2025-02,2025-02,952.0
2024-12-19,Soybean Oil,15071000100Q,2025-03,2025-03,930.0
2024-12-19,Soybean Oil,15071000100Q,2025-04,2025-11,890.0
2024-12-19,Sunflower Oil,15121110310E,2024-12,2025-11,1100.0
2024-12-19,Soybean Meal,23040010100B,2024-12,2025-01,319.0
2024-12-19,Soybean Meal,23040010100B,2025-02,2025-03,322.0
2024-12-19,Soybean Meal,23040010100B,2025-04,2025-11,326.0
2024-12-20,Soybeans,12019000190C,2024-12,2025-02,408.0
2024-12-20,Soybeans,12019000190C,2025-03,2025-11,369.0
2024-12-20,Soybean Oil,15071000100Q,2024-12,2025-01,981.0
2024-12-20,Soybean Oil,15071000100Q,2025-02,2025-02,938.0
2024-12-20,Soybean Oil,15071000100Q,2025-03,2025-03,918.0
2024-12-20,Soybean Oil,15071000100Q,2025-04,2025-11,881.0
2024-12-20,Sunflower Oil,15121110310E,2024-12,2025-11,1080.0
2024-12-20,Soybean Meal,23040010100B,2024-12,2025-01,331.0
2024-12-20,Soybean Meal,23040010100B,2025-02,2025-03,334.0
2024-12-20,Soybean Meal,23040010100B,2025-04,2025-11,336.0
2024-12-23,Soybeans,12019000190C,2024-12,2025-02,406.0
2024-12-23,Soybeans,12019000190C,2025-03,2025-11,369.0
2024-12-23,Soybean Oil,15071000100Q,2024-12,2025-01,991.0
2024-12-23,Soybean Oil,15071000100Q,2025-02,2025-02,949.0
2024-12-23,Soybean Oil,15071000100Q,2025-03,2025-03,929.0
2024-12-23,Soybean Oil,15071000100Q,2025-04,2025-11,886.0
2024-12-23,Sunflower Oil,15121110310E,2024-12,2025-11,1080.0
2024-12-23,Soybean Meal,23040010100B,2024-12,2025-01,328.0
2024-12-23,Soybean Meal,23040010100B,2025-02,2025-03,330.0
2024-12-23,Soybean Meal,23040010100B,2025-04,2025-11,334.0
2024-12-26,Soybeans,12019000190C,2024-12,2025-02,412.0
2024-12-26,Soybeans,12019000190C,2025-03,2025-11,375.0
2024-12-26,Soybean Oil,15071000100Q,2024-12,2025-01,980.0
2024-12-26,Soybean Oil,15071000100Q,2025-02,2025-02,954.0
2024-12-26,Soybean Oil,15071000100Q,2025-03,2025-03,924.0
2024-12-26,Soybean Oil,15071000100Q,2025-04,2025-11,976.0
2024-12-26,Sunflower Oil,15121110310E,2024-12,2025-11,1070.0
2024-12-26,Soybean Meal,23040010100B,2024-12,2025-01,343.0
2024-12-26,Soybean Meal,23040010100B,2025-02,2025-03,345.0
2024-12-26,Soybean Meal,23040010100B,2025-04,2025-11,348.0
2024-12-27,Soybeans,12019000190C,2024-12,2025-02,410.0
2024-12-27,Soybeans,12019000190C,2025-03,2025-11,375.0
2024-12-27,Soybean Oil,15071000100Q,2024-12,2025-01,971.0
2024-12-27,Soybean Oil,15071000100Q,2025-02,2025-02,957.0
2024-12-27,Soybean Oil,15071000100Q,2025-03,2025-03,922.0
2024-12-27,Soybean Oil,15071000100Q,2025-04,2025-11,896.0
2024-12-27,Sunflower Oil,15121110310E,2024-12,2025-11,1065.0
2024-12-27,Soybean Meal,23040010100B,2024-12,2025-01,339.0
2024-12-27,Soybean Meal,23040010100B,2025-02,2025-03,341.0
2024-12-27,Soybean Meal,23040010100B,2025-04,2025-11,344.0
2024-12-30,Soybeans,12019000190C,2025-01,2025-02,410.0
2024-12-30,Soybeans,12019000190C,2025-03,2025-12,377.0
2024-12-30,Soybean Oil,15071000100Q,2025-01,2025-01,977.0
2024-12-30,Soybean Oil,15071000100Q,2025-02,2025-02,957.0
2024-12-30,Soybean Oil,15071000100Q,2025-03,2025-03,928.0
2024-12-30,Soybean Oil,15071000100Q,2025-04,2025-12,898.0
2024-12-30,Sunflower Oil,15121110310E,2024-12,2025-11,1060.0
2024-12-30,Soybean Meal,23040010100B,2025-01,2025-01,341.0
2024-12-30,Soybean Meal,23040010100B,2025-02,2025-03,343.0
2024-12-30,Soybean Meal,23040010100B,2025-04,2025-12,345.0
2025-01-02,Soybeans,12019000190C,2025-01,2025-02,415.0
2025-01-02,Soybeans,12019000190C,2025-03,2025-12,386.0
2025-01-02,Soybean Oil,15071000100Q,2025-01,2025-01,977.0
2025-01-02,Soybean Oil,15071000100Q,2025-02,2025-02,963.0
